NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,11,181,0
1,11,182,0
1,11,183,0
1,11,184,0
1,11,185,0
1,11,186,0
1,11,187,0
1,11,188,0
1,11,189,0
1,11,190,0
1,11,191,0
1,11,192,0
1,11,193,2821
1,11,194,2821
1,11,195,2821
1,11,196,0
1,11,197,0
1,11,198,0
1,11,199,0
1,11,200,0
1,11,201,0
1,11,202,0
1,11,203,0
1,11,204,0
1,11,205,0
1,11,206,0
1,11,207,0
1,11,208,0
1,11,209,0
1,11,210,0
1,11,211,0
1,11,212,0
1,11,213,0
1,11,214,0
1,11,215,0
1,11,216,0
1,11,217,2821
1,11,218,2821
1,11,219,2821
1,11,220,0
1,11,221,0
1,11,222,0
1,11,223,0
1,11,224,0
1,11,225,0
1,11,226,0
1,11,227,0
1,11,228,0
1,11,229,0
1,11,230,0
1,11,231,0
1,11,232,0
1,11,233,0
1,11,234,0
1,11,235,0
1,11,236,0
1,11,237,0
1,11,238,0
1,11,239,0
1,16,0,715
1,16,1,1104
1,16,2,1461
1,16,3,1040
1,16,4,673
1,16,5,329
1,16,6,225
1,16,7,94
1,16,8,103
1,16,9,212
1,16,10,305
1,16,11,421
1,16,12,533
1,16,13,1749
1,16,14,1530
1,16,15,1747
1,16,16,542
1,16,17,673
1,16,18,235
1,16,19,131
1,16,20,0
1,16,21,0
1,16,22,94
1,16,23,94
1,16,24,94
1,16,25,2054
1,16,26,2054
1,16,27,2054
1,16,28,438
1,16,29,542
1,16,30,542
1,16,31,104
1,16,32,0
1,16,33,0
1,16,34,131
1,16,35,131
1,16,36,131
1,16,37,2148
1,16,38,2148
1,16,39,2148
1,16,40,0
1,16,41,0
1,16,42,0
1,16,43,438
1,16,44,438
1,16,45,438
1,16,46,104
1,16,47,104
1,16,48,104
1,16,49,2279
1,16,50,2279
1,16,51,2279
1,16,52,0
1,16,53,0
1,16,54,0
1,16,55,0
1,16,56,0
1,16,57,0
1,16,58,0
1,16,59,0
1,16,60,0
1,16,61,0
1,16,62,0
1,16,63,0
1,16,64,0
1,16,65,0
1,16,66,0
1,16,67,0
1,16,68,0
1,16,69,0
1,16,70,438
1,16,71,2821
1,16,72,2821
1,16,73,2383
1,16,74,0
1,16,75,0
1,16,76,0
1,16,77,0
1,16,78,0
1,16,79,0
1,16,80,0
1,16,81,0
1,16,82,0
1,16,83,0
1,16,84,0
1,16,85,0
1,16,86,0
1,16,87,0
1,16,88,0
1,16,89,0
1,16,90,0
1,16,91,0
1,16,92,0
1,16,93,0
1,16,94,0
1,16,95,0
1,16,96,0
1,16,97,2821
1,16,98,2821
1,16,99,2821
1,16,100,0
1,16,101,0
1,16,102,0
1,16,103,0
1,16,104,0
1,16,105,0
1,16,106,0
1,16,107,0
1,16,108,0
1,16,109,0
1,16,110,0
1,16,111,0
1,16,112,0
1,16,113,0
1,16,114,0
1,16,115,0
1,16,116,0
1,16,117,0
1,16,118,0
1,16,119,0
1,16,120,0
1,16,121,2821
1,16,122,2821
1,16,123,2821
1,16,124,0
1,16,125,0
1,16,126,0
1,16,127,0
1,16,128,0
1,16,129,0
1,16,130,0
1,16,131,0
1,16,132,0
1,16,133,0
1,16,134,0
1,16,135,0
1,16,136,0
1,16,137,0
1,16,138,0
1,16,139,0
1,16,140,0
1,16,141,0
1,16,142,0
1,16,143,0
1,16,144,0
1,16,145,2821
1,16,146,2821
1,16,147,2821
1,16,148,0
1,16,149,0
1,16,150,0
1,16,151,0
1,16,152,0
1,16,153,0
1,16,154,0
1,16,155,0
1,16,156,0
1,16,157,0
1,16,158,0
1,16,159,0
1,16,160,0
1,16,161,0
1,16,162,0
1,16,163,0
1,16,164,0
1,16,165,0
1,16,166,0
1,16,167,0
1,16,168,0
1,16,169,2821
1,16,170,2821
1,16,171,2821
1,16,172,0
1,16,173,0
1,16,174,0
1,16,175,0
1,16,176,0
1,16,177,0
1,16,178,0
1,16,179,0
1,16,180,0
1,16,181,0
1,16,182,0
1,16,183,0
1,16,184,0
1,16,185,0
1,16,186,0
1,16,187,0
1,16,188,0
1,16,189,0
1,16,190,0
1,16,191,0
1,16,192,0
1,16,193,2821
1,16,194,2821
1,16,195,2821
1,16,196,0
1,16,197,0
1,16,198,0
1,16,199,0
1,16,200,0
1,16,201,0
1,16,202,0
1,16,203,0
1,16,204,0
1,16,205,0
1,16,206,0
1,16,207,0
1,16,208,0
1,16,209,0
1,16,210,0
1,16,211,0
1,16,212,0
1,16,213,0
1,16,214,0
1,16,215,0
1,16,216,0
1,16,217,2821
1,16,218,2821
1,16,219,2821
1,16,220,0
1,16,221,0
1,16,222,0
1,16,223,0
