NEIG_TRESH,NEIG_DIST,timestep,sum_breeding
1,16,59,307
1,16,60,297
1,16,61,299
1,16,62,294
1,16,63,308
1,16,64,309
1,16,65,325
1,16,66,329
1,16,67,328
1,16,68,318
1,16,69,344
1,16,70,329
1,16,71,328
1,16,72,306
1,16,73,305
1,16,74,326
1,16,75,312
1,16,76,347
1,16,77,316
1,16,78,317
1,16,79,298
1,16,80,286
1,16,81,304
1,16,82,303
1,16,83,321
1,16,84,304
1,16,85,303
1,16,86,307
1,16,87,297
1,16,88,299
1,16,89,294
1,16,90,308
1,16,91,309
1,16,92,325
1,16,93,329
1,16,94,328
1,16,95,318
1,16,96,344
1,16,97,329
1,16,98,328
1,16,99,306
1,16,100,305
1,16,101,326
1,16,102,312
1,16,103,347
1,16,104,316
1,16,105,317
1,16,106,298
1,16,107,286
1,16,108,304
1,16,109,303
1,16,110,321
1,16,111,304
1,16,112,303
1,16,113,307
1,16,114,297
1,16,115,299
1,16,116,294
1,16,117,308
1,16,118,309
1,16,119,325
1,16,120,329
1,16,121,328
1,16,122,318
1,16,123,344
1,16,124,329
1,16,125,328
1,16,126,306
1,16,127,305
1,16,128,326
1,16,129,312
1,16,130,347
1,16,131,316
1,16,132,317
1,16,133,298
1,16,134,286
1,16,135,304
1,16,136,303
1,16,137,321
1,16,138,304
1,16,139,303
1,16,140,307
1,16,141,297
1,16,142,299
1,16,143,294
1,16,144,308
1,16,145,309
1,16,146,325
1,16,147,329
1,16,148,328
1,16,149,318
1,16,150,344
1,16,151,329
1,16,152,328
1,16,153,306
1,16,154,305
1,16,155,326
1,16,156,312
1,16,157,347
1,16,158,316
1,16,159,317
1,16,160,298
1,16,161,286
1,16,162,304
1,16,163,303
1,16,164,321
1,16,165,304
1,16,166,303
1,16,167,307
1,16,168,297
1,16,169,299
1,16,170,294
1,16,171,308
1,16,172,309
1,16,173,325
1,16,174,329
1,16,175,328
1,16,176,318
1,16,177,344
1,16,178,329
1,16,179,328
1,16,180,306
1,16,181,305
1,16,182,326
1,16,183,312
1,16,184,347
1,16,185,316
1,16,186,317
1,16,187,298
1,16,188,286
1,16,189,304
1,16,190,303
1,16,191,321
1,16,192,304
1,16,193,303
1,16,194,307
1,16,195,297
1,16,196,299
1,16,197,294
1,16,198,308
1,16,199,309
1,16,200,325
1,16,201,329
1,16,202,328
1,16,203,318
1,16,204,344
1,16,205,329
1,16,206,328
1,16,207,306
1,16,208,305
1,16,209,326
1,16,210,312
1,16,211,347
1,16,212,316
1,16,213,317
1,16,214,298
1,16,215,286
1,16,216,304
1,16,217,303
1,16,218,321
1,16,219,304
1,16,220,303
1,16,221,307
1,16,222,297
1,16,223,299
1,16,224,294
1,16,225,308
1,16,226,309
1,16,227,325
1,16,228,329
1,16,229,328
1,16,230,318
1,16,231,344
1,16,232,329
1,16,233,328
1,16,234,306
1,16,235,305
1,16,236,326
1,16,237,312
1,16,238,347
1,16,239,316
1,21,0,327
1,21,1,310
1,21,2,317
1,21,3,300
1,21,4,309
1,21,5,306
1,21,6,312
1,21,7,308
1,21,8,296
1,21,9,304
1,21,10,326
1,21,11,328
1,21,12,322
1,21,13,296
1,21,14,307
1,21,15,304
1,21,16,319
1,21,17,313
1,21,18,327
1,21,19,318
1,21,20,315
1,21,21,319
1,21,22,322
1,21,23,329
1,21,24,306
1,21,25,313
1,21,26,310
1,21,27,327
1,21,28,310
1,21,29,317
1,21,30,300
1,21,31,309
1,21,32,306
1,21,33,312
1,21,34,308
1,21,35,296
1,21,36,304
1,21,37,326
1,21,38,328
1,21,39,322
1,21,40,296
1,21,41,307
1,21,42,304
1,21,43,319
1,21,44,313
1,21,45,327
1,21,46,318
1,21,47,315
1,21,48,319
1,21,49,322
1,21,50,329
1,21,51,306
1,21,52,313
1,21,53,310
1,21,54,327
1,21,55,310
1,21,56,317
1,21,57,300
1,21,58,309
1,21,59,306
1,21,60,312
1,21,61,308
1,21,62,296
1,21,63,304
1,21,64,326
1,21,65,328
1,21,66,322
1,21,67,296
1,21,68,307
1,21,69,304
1,21,70,319
1,21,71,313
1,21,72,327
1,21,73,318
1,21,74,315
1,21,75,319
1,21,76,322
1,21,77,329
1,21,78,306
1,21,79,313
1,21,80,310
1,21,81,327
1,21,82,310
1,21,83,317
1,21,84,300
1,21,85,309
1,21,86,306
1,21,87,312
1,21,88,308
1,21,89,296
1,21,90,304
1,21,91,326
1,21,92,328
1,21,93,322
1,21,94,296
1,21,95,307
1,21,96,304
1,21,97,319
1,21,98,313
1,21,99,327
1,21,100,318
1,21,101,315
1,21,102,319
1,21,103,322
1,21,104,329
1,21,105,306
1,21,106,313
1,21,107,310
1,21,108,327
1,21,109,310
1,21,110,317
1,21,111,300
1,21,112,309
1,21,113,306
1,21,114,312
1,21,115,308
1,21,116,296
1,21,117,304
1,21,118,326
1,21,119,328
1,21,120,322
1,21,121,296
1,21,122,307
1,21,123,304
1,21,124,319
1,21,125,313
1,21,126,327
1,21,127,318
1,21,128,315
1,21,129,319
1,21,130,322
1,21,131,329
1,21,132,306
1,21,133,313
1,21,134,310
1,21,135,327
1,21,136,310
1,21,137,317
1,21,138,300
1,21,139,309
1,21,140,306
1,21,141,312
1,21,142,308
1,21,143,296
1,21,144,304
1,21,145,326
1,21,146,328
1,21,147,322
1,21,148,296
1,21,149,307
1,21,150,304
1,21,151,319
1,21,152,313
1,21,153,327
1,21,154,318
1,21,155,315
1,21,156,319
1,21,157,322
1,21,158,329
1,21,159,306
1,21,160,313
1,21,161,310
1,21,162,327
1,21,163,310
1,21,164,317
1,21,165,300
1,21,166,309
1,21,167,306
1,21,168,312
1,21,169,308
1,21,170,296
1,21,171,304
1,21,172,326
1,21,173,328
1,21,174,322
1,21,175,296
1,21,176,307
1,21,177,304
1,21,178,319
1,21,179,313
1,21,180,327
1,21,181,318
1,21,182,315
1,21,183,319
1,21,184,322
1,21,185,329
1,21,186,306
1,21,187,313
1,21,188,310
1,21,189,327
1,21,190,310
1,21,191,317
1,21,192,300
1,21,193,309
1,21,194,306
1,21,195,312
1,21,196,308
1,21,197,296
1,21,198,304
1,21,199,326
1,21,200,328
1,21,201,322
1,21,202,296
1,21,203,307
1,21,204,304
1,21,205,319
1,21,206,313
1,21,207,327
1,21,208,318
1,21,209,315
1,21,210,319
1,21,211,322
1,21,212,329
1,21,213,306
1,21,214,313
1,21,215,310
1,21,216,327
1,21,217,310
1,21,218,317
1,21,219,300
1,21,220,309
1,21,221,306
1,21,222,312
1,21,223,308
1,21,224,296
1,21,225,304
1,21,226,326
1,21,227,328
1,21,228,322
1,21,229,296
1,21,230,307
1,21,231,304
1,21,232,319
1,21,233,313
1,21,234,327
1,21,235,318
1,21,236,315
1,21,237,319
1,21,238,322
1,21,239,329
1,26,0,311
1,26,1,309
1,26,2,312
1,26,3,307
1,26,4,315
1,26,5,328
1,26,6,324
1,26,7,309
1,26,8,305
1,26,9,302
1,26,10,319
1,26,11,317
1,26,12,336
1,26,13,316
1,26,14,305
1,26,15,302
1,26,16,317
1,26,17,323
1,26,18,309
1,26,19,295
1,26,20,306
1,26,21,312
1,26,22,333
1,26,23,325
1,26,24,318
1,26,25,308
1,26,26,300
1,26,27,311
1,26,28,309
1,26,29,312
1,26,30,307
1,26,31,315
1,26,32,328
1,26,33,324
1,26,34,309
1,26,35,305
1,26,36,302
1,26,37,319
1,26,38,317
1,26,39,336
1,26,40,316
1,26,41,305
1,26,42,302
1,26,43,317
1,26,44,323
1,26,45,309
1,26,46,295
1,26,47,306
1,26,48,312
1,26,49,333
1,26,50,325
1,26,51,318
1,26,52,308
1,26,53,300
1,26,54,311
1,26,55,309
1,26,56,312
1,26,57,307
1,26,58,315
1,26,59,328
1,26,60,324
1,26,61,309
1,26,62,305
1,26,63,302
1,26,64,319
1,26,65,317
1,26,66,336
1,26,67,316
1,26,68,305
1,26,69,302
1,26,70,317
1,26,71,323
1,26,72,309
1,26,73,295
1,26,74,306
1,26,75,312
1,26,76,333
1,26,77,325
1,26,78,318
1,26,79,308
1,26,80,300
1,26,81,311
1,26,82,309
1,26,83,312
1,26,84,307
1,26,85,315
1,26,86,328
1,26,87,324
1,26,88,309
1,26,89,305
1,26,90,302
1,26,91,319
1,26,92,317
1,26,93,336
1,26,94,316
1,26,95,305
1,26,96,302
1,26,97,317
1,26,98,323
1,26,99,309
1,26,100,295
1,26,101,306
1,26,102,312
1,26,103,333
1,26,104,325
1,26,105,318
1,26,106,308
1,26,107,300
1,26,108,311
1,26,109,309
1,26,110,312
1,26,111,307
1,26,112,315
1,26,113,328
1,26,114,324
1,26,115,309
1,26,116,305
1,26,117,302
1,26,118,319
1,26,119,317
1,26,120,336
1,26,121,316
1,26,122,305
1,26,123,302
1,26,124,317
1,26,125,323
1,26,126,309
1,26,127,295
1,26,128,306
1,26,129,312
1,26,130,333
1,26,131,325
1,26,132,318
1,26,133,308
1,26,134,300
1,26,135,311
1,26,136,309
1,26,137,312
1,26,138,307
1,26,139,315
1,26,140,328
1,26,141,324
1,26,142,309
1,26,143,305
